Table S6 Fold difference of the fraction of epilepsy-eQTL SNPs that are disease-associated relative to the fraction of all SNPs that are disease-associated. FDR = false discovery rate
Epilepsy GWAS 
meta-analysis p-value	Epilepsy-eQTL FDR
	<0.5	<0.1	<0.05	<0.01
1	1	1	1	1
5x10e-1	1	1	1	1
1x10e-1	1	1	1	1
5x10e-2	1	1	1	1
1x10e-2	1	1	1	1
5x10e-3	1	2	2	1
1x10e-3	1	4	5	5
5x10e-4	2	7	7	5
1x10e-4	3	13	22	16
5x10e-5	4	22	36	26
1x10e-5	5	41	67	73
5x10e-6	8	61	100	110
1x10e-6	9	74	120	132
