 	1A2	1B3	MCV6	MCV8	BIV1-	BIV1+
1700049G17Rik	-1.586641255	-1.313478624	-1.302702554	-0.85815491	-1.29905063	-0.47856372
2610008E11Rik	-0.24241099	-0.406827295	-0.311222363	-0.096461969	0	0.43478641
2610039C10Rik	1.333043934	1.463088369	0.9212875	0.993427803	1.174354936	0.817895363
2610305D13Rik	-2.372056076	-2.443782896	-2.334365246	-1.687373895	1.087991011	-0.402064287
2700081O15Rik	0.530699669	0.314911938	0.625579424	0.716397543	0.327832544	0.909329247
2810021J22Rik	0.289032704	0.192445477	0.35291686	0.156949366	-0.074276919	0.245580721
3110052M02Rik	-1.102679507	-1.337995102	-0.869586564	-0.660469204	-1.412978796	-0.393525109
5730403B10Rik	-0.044239201	0.064857637	0.0584529	0.113925829	0.18418244	0.243954179
5730507C01Rik	-0.524353996	-0.324056721	-0.455689655	-0.464457613	0.349560563	-1.649699749
9130019O22Rik	-1.281468171	-1.383432252	-1.174352288	-0.359642548	-0.656555826	-0.567187088
9130023H24Rik	-0.443624732	-0.406827295	-0.299646491	-0.70019763	-0.504371652	-0.371454038
A430033K04Rik	0.10443227	0.060106073	0.265149941	0.517850025	-0.352917656	0.433052939
A530054K11Rik	0.131469695	0.152337558	-0.177762923	-0.015789796	-0.203486139	-0.296347531
AA987161	0.593512289	0.624406249	0.597072034	0.876498485	0.755647512	0.408916599
AI607873	-2.525579636	-2.863538267	-1.82987496	-2.440873052	-2.817206961	-3.034469999
AI987944	0.521640831	0.59025379	0.206710087	0.386712437	0.045804555	0.276613037
Abra	-1.714473361	-2.089656133	-1.533336355	-1.6376332	-2.38427853	-1.727602301
Abt1	1.513893698	1.510269677	1.470515606	1.456807683	1.643638454	1.321246062
Actl6a	1.270846872	1.166403554	0.798247378	0.640989949	1.193338805	0.464459769
Actn2	-0.812684521	-0.753402084	-0.883454057	-0.510649209	-0.741056409	-0.195434458
Aebp1	0.050564094	-0.074365221	-0.574608792	-0.541440316	0.554268671	0.160147556
Aebp2	0.739237971	0.715214027	1.068317111	0.973025417	0.57089431	1.263412984
Aes	2.130869515	2.001973938	1.955664464	1.977153312	1.475149179	2.101075123
Aff1	-0.192282831	-0.255656909	-0.198652989	-0.142580053	0.109160123	-0.140985972
Aff2	-1.317951986	-1.141957013	-1.778324256	-2.13013256	-0.869588525	-1.734581888
Aff3	-0.574806981	-0.555848318	-0.623663419	-0.75355085	0.12824031	-1.253026305
Aff4	-0.023694109	-0.079121456	0.490980764	0.230963412	0.260248842	0.453941776
Ahr	0.033174707	-0.281870675	-0.195433757	-0.227722119	0.316196766	0.182577208
Ahrr	-1.814125419	-1.483915964	-1.359734762	-2.249031402	-1.930006032	-2.817210707
Aim2	0.838144683	0.912793846	0.720477424	0.654599617	0.270058563	0.945615277
Aip	1.694476417	1.579779036	1.146639335	1.13161264	0.965480567	1.212760748
Aire	-0.496497246	-0.753402084	-0.663413172	-0.50705865	0.694171872	-0.781041054
Alx1	-1.869254077	-1.599089718	-1.317497567	-1.54871596	-1.619981405	-1.905547893
Alx3	-0.98863087	-0.947970438	-0.970504332	-1.110993138	-1.27393496	-0.911711202
Alx4	-0.741310336	-0.868324437	-0.833390985	-1.065539131	-1.400340729	-1.15272612
Ankrd1	-0.69641699	-0.868324437	-0.858155816	-1.134597425	0.312880111	0.155351962
Apbb3	0.385145716	0.218272221	0.427858702	0.30791049	0.156150771	0.567187088
Apex1	2.385095514	2.33714565	2.311426679	2.101065373	2.472372303	1.643640639
Ar	-0.938580391	-0.961620522	-1.28818511	-1.400336093	-0.967990512	-1.325008295
Arid1a	1.742240782	1.604716881	1.778324256	1.602806124	1.955668875	1.680935514
Arid1b	0.815975602	0.737792299	0.359642928	0.180971358	0.231774878	0.334501725
Arid2	0.928847826	1.007589994	0.899848919	0.874189602	1.019526004	0.953021511
Arid3a	0.140236584	0.044276622	-0.41922951	-0.441731286	-0.023685993	0.203486409
Arid3b	-0.724818386	-0.784109608	-1.062771527	-0.415786081	-0.055290121	-0.410632645
Arid4a	-0.466376834	-0.366821566	-0.216396255	-0.129831892	-0.222865353	-0.153754223
Arid4b	-0.203555864	-0.23611102	0.256983915	0.403773724	0.352917656	0.366386487
Arid5a	0.102844379	0.126799181	-0.445213128	-0.283177646	-0.481218032	0.871889378
Arid5b	0.66659199	0.82549266	0.682188517	1.177485824	0.606521359	1.190146822
Arnt	0.30636193	0.285160546	-0.099634997	0.104396152	-0.131424661	0.041063412
Arnt2	-0.521640831	-0.594014325	-0.107571738	-0.022106589	-0.190609093	-0.121875603
Arntl	0.044239201	0.110880199	-0.243953305	0.11233686	0.03000394	0.069528087
Arntl2	0.909639624	0.79919815	0.983176903	1.229292318	-0.009473659	1.054517198
Arx	-0.473425353	-0.514859361	-0.774643798	-0.66636145	-0.778905016	-0.53051859
Ascl1	-1.851691936	-1.942425902	-0.464458104	-1.256467768	-1.186963669	-1.0908369
Ascl2	-1.223060613	-1.135950015	-1.253021813	-1.270407353	-0.583934223	-1.263412984
Ascl3	-0.766430654	-0.660275575	-0.80258635	-0.710300927	-1.265155606	-0.704233656
Ash1l	0.762210929	0.944277929	1.180633367	1.21275512	0.728673233	1.206237116
Ash2l	0.88375877	0.898561139	1.022171172	0.817891568	1.295412901	0.860436122
Atf1	1.887407033	1.97951034	1.925017538	1.801525955	2.023079054	1.649699749
Atf2	0.755906438	0.750265681	0.631341173	0.793922423	0.776773533	0.791769556
Atf3	0.251364494	-0.045859008	-1.032832872	-0.056871317	0.490981871	1.116841575
Atf4	1.079879526	1.12110717	0.530516688	0.833390105	1.003787695	0.914098299
Atf5	1.518830441	1.278992801	0.680201009	1.25302049	0.8156961	1.43018779
Atf6	0.537977916	0.468532782	0.304602613	0.420952408	0.28975663	0.778906052
Atf6b	0.847127307	0.708105576	0.77890326	0.656553652	0.417508343	0.49454451
Atf7	-0.363137212	-0.34661895	-0.301297715	-0.240701894	-0.498112069	-0.088534216
Atf7ip	0.210009038	0.182794016	0.583932906	0.512446938	0.492762087	0.672279855
Atoh1	-0.549865824	-0.660275575	-1.925017538	-1.085151686	-1.332587317	-1.367682223
Atoh7	-0.670534292	-0.692990933	-0.72252145	-0.881130215	-1.259934094	-0.899852145
Atoh8	-0.031594425	0.168348068	-0.371452706	-0.600844194	-0.096462288	0.092497595
Atxn7l3	1.41346296	1.375327055	1.417238429	0.909325027	1.134601182	1.131617891
BC006779	-0.328777958	-0.660275575	-0.373143982	-0.334500173	-0.552430807	-0.339512969
BC025920	-0.963306609	-1.020738035	-0.643897004	-0.569037468	-1.106638933	-0.594250094
Bach1	0.293150721	0.701032358	0.844584014	0.822299711	1.140601047	1.146643445
Bach2	-0.856178203	-0.794868884	-0.597072034	-0.229342467	-0.424404224	-0.266786192
Bahd1	0.700439875	0.737792299	0.048965804	0.410630739	0.219629908	0.654602655
Banp	0.654826087	0.767078957	0.457440545	0.600844194	0.672278961	0.61793118
Barhl1	-1.063138088	-1.072377925	-0.871886253	-0.806939511	-0.716399915	-0.923698829
Barhl2	-1.609033745	-2.443782896	-1.896065711	-1.859758495	-1.454554335	-1.282814514
Barx1	-0.476074551	-0.406827295	-0.765110562	-0.631340506	-0.697182769	-0.591430706
Barx2	-0.379202576	-0.002371197	-0.334500526	-0.361326576	-1.400340729	-0.72354718
Batf	-0.055309066	-0.156336406	-0.3833141	-0.347882331	-0.501686587	-0.30295084
Batf2	-0.165003106	-0.269560191	-1.020846551	-0.787463716	-1.332587317	-1.093690123
Batf3	-0.369890019	-0.575293194	-0.847962428	-0.783175959	-0.355438065	-0.625581666
Baz1a	1.96697553	2.13267196	1.655813603	2.047716244	1.259934094	2.115387195
Baz1b	0.501858492	0.516662534	0.376529718	0.36807292	0.33450128	0.261882394
Baz2a	0.378354644	0.418004684	0.684178702	0.494542215	0.874192497	0.668333735
Baz2b	-0.762210929	-0.44748818	0.034743088	-0.03000384	-0.209937102	0.118695016
Bbx	0.153806703	0.575293194	0.962974469	1.054512304	0.809124892	1.256473599
Bcl10	1.250020235	1.234109479	0.72252145	1.011622431	1.057260559	0.822303527
Bcl11a	-1.030511868	-0.910409063	-0.914095022	-1.498780207	-0.494543853	-1.575196985
Bcl11b	-0.973362051	-0.974185392	0.321177514	-0.610313571	-0.485650445	0.189001959
Bcl3	1.384301718	1.249364732	1.359734762	0.998592806	0.828944559	1.202994314
Bcl6	-0.112375725	-0.17476402	-0.120284728	0.061616318	-0.224483941	0.5034769
Bcl6b	-0.778105367	-0.868324437	-0.738983088	-0.686170854	-0.172953764	-0.552431542
