 	oocyte	sperm	placenta	trophoblast stem cell	episc	esc	HSC	Common Lymphoid Progenitor (CLP)	Common Myeloid Progenitor (CMP)	Granulocyte-Monocyte Progenitor (GMP)	Megakaryocyte-Erythroid Progenitor (MEP)	pre B Cell	B Cell	monocytes - classical	dendritic cell - plasmacytoid	macrophage	thymocyte DN	thymocyte - DP	T Cell	natural killer cells	neutrophils	microglia	erythroblast	spleen	Langerhans cell	lymph node stromal cell	medullary thymic epithelial	terminal bronchiolar epithelial cells	endothelial cell - gonad	endothelial cell - blood vessel	endothelial cell - lymphatic vessel	msc	osteoblast	keratinocyte	mef	fibroblast - cardiac	fibroblast - skin	fibroblast - thymus	myoblast	skeletal muscle	cardiomyocyte	mammary gland - lactating	adipose - white	adipose - brown	bladder	kidney	liver	lung	prostate	pituitary	thyroid	pancreas - islets	pancreas - whole	intestine - large	intestine - paneth cell	intestine - small	nsc	npc	neuron - glutamatergic	olfactory epithelium	retinal pigment epithelium	cornea	lens
2610008E11Rik	-0.001602089	0.001614538	0.000802705	0.000595995	0.000192564	0.000230292	-0.000105993	0.000443961	0.000207851	-0.001991309	0.000548965	-1.01E-05	-8.37E-05	-0.001530046	-7.57E-05	0.001490143	0.000282102	0.001014678	-0.000426168	0.000966506	-0.00143049	0.001272333	0.00063923	0.000186695	-0.002881948	0.000899378	-0.00208302	-8.84E-05	-5.31E-05	0.000165273	-0.000131843	9.84E-07	0.000385515	0.000556669	-0.00086583	0.000678198	0.00084543	-0.000315078	-0.000203876	0.00016996	-0.000857695	-9.90E-05	-6.59E-05	-0.000207426	0.000160789	-0.000498593	0.000672197	0.000251252	0.000164654	-0.00015522	-0.000536682	-9.51E-05	0.00025963	-0.000146016	-4.50E-05	0.0003134	-0.000290519	0.000139964	0.000185372	6.55E-05	-0.000151756	0.000555349	-0.000139703
2610039C10Rik	0.000845708	-0.001308684	0.000958192	-0.000445946	0.000488711	-0.000298665	0.000889952	-0.001041243	-0.000259531	0.000198792	0.000286298	-0.000303813	0.000171425	-0.000860732	0.000592181	0.000140134	0.000257905	8.10E-05	-0.00050454	0.000576001	0.000828758	0.000751649	0.001249675	8.84E-05	0.000309237	0.001601304	0.000845704	-0.002318299	0.001452498	-0.000169981	0.000776216	0.000982839	0.000809969	-0.002695565	-0.000838585	-0.0018179	0.001245021	0.00149963	0.00081209	-0.001176823	-0.001328064	-0.000845952	-0.002147658	4.65E-05	-0.000244782	-0.001824889	-0.001999846	0.00358748	-0.000202275	-0.001485285	-0.000979028	-0.001609351	-0.00151256	0.003039125	-0.002431328	0.001307596	0.001051415	0.000684628	0.000800605	0.001900607	-0.001932014	0.002427876	0.000172181
2610305D13Rik	0.001271745	-0.000358285	0.000318311	-0.001948835	0.002428736	0.002451024	0.000494015	-8.08E-05	-0.000216641	-4.66E-05	-0.000214574	-0.000269296	-7.33E-05	-0.000192098	-0.000164914	0.00049076	-0.00033048	0.000338191	-0.000131321	0.000318439	-0.000300353	-0.000141417	-0.000487826	-0.000460728	0.000103257	-1.53E-05	-0.000222912	-0.000190642	-0.000502159	8.19E-05	-3.88E-05	6.37E-05	7.11E-05	-0.000227488	-0.000169812	-0.000156717	-2.24E-05	0.000146068	-0.000435347	8.18E-06	0.000291022	-0.000141605	-1.58E-05	0.000132135	-0.000173818	3.46E-05	0.000399776	5.96E-05	0.000282312	-3.74E-05	2.75E-07	-0.000109613	7.01E-05	1.97E-05	-0.000301076	-0.000291332	-0.000559767	-0.000669972	-0.000164346	-0.000178891	-0.00041634	0.000126902	-0.000466129
2700081O15Rik	-0.000233445	0.000768332	0.001190645	-0.002804847	-0.002070724	0.002658996	0.003172656	0.001058215	-0.005370164	-0.000471315	0.004242137	0.003815252	-0.001742878	0.001565964	-0.002222401	-0.002223689	0.002591122	0.000950529	-0.002478184	-0.002156904	0.001415706	0.002362945	0.001100972	-0.00236262	-0.002189581	-7.13E-05	0.000905945	0.00027159	-0.00151215	0.00055814	0.000591378	0.000300006	0.000977437	-0.002628204	0.000678412	-0.000642701	-0.00054798	0.00118052	-6.11E-05	0.000499851	0.000468767	0.001373845	0.000647938	3.11E-05	0.002017202	-0.002944027	-0.001859705	0.000998594	-0.002323923	-0.000192045	0.001544447	0.000740951	0.000906367	-4.65E-05	-0.001070557	-0.000622683	-0.000893142	0.000955762	0.001202668	0.000821628	-0.001486606	0.000676486	-0.000710333
3110052M02Rik	-0.000388351	-2.86E-05	-3.41E-05	0.000203055	-0.000187256	-0.000562702	-0.000915131	-0.001891586	-0.000248523	0.000846318	-0.000637834	0.002228463	0.004153651	-0.000233179	-0.002040047	-0.000967838	-0.001082646	7.89E-05	-0.000650645	-0.001338076	-0.000217741	0.000106255	0.000464383	0.002795894	-0.000123992	0.000467854	0.00017689	4.65E-05	0.000151528	-0.000192925	0.000132744	-6.30E-05	-2.15E-05	-0.000242279	0.000576917	0.000251693	0.000651179	-2.84E-05	-0.000923748	-0.000117976	-0.001145885	-0.002258764	0.000390626	-0.00051528	7.49E-05	-0.000115986	0.000368694	-0.000961912	-0.001699273	0.003532436	0.00405876	-0.001439919	-0.000370208	-0.001999213	0.004420632	-0.001208713	-0.001276806	-0.000433088	0.002300892	-0.001357408	-0.000778205	3.66E-05	-0.000405382
4930522L14Rik	0.000362366	0.00043498	0.00017257	-3.00E-05	3.61E-05	6.20E-05	0.000104413	-0.000119981	-9.42E-05	0.000142324	-2.75E-05	3.92E-05	9.50E-05	0.000767069	0.000121155	-0.000131007	-0.000455856	0.000519071	2.12E-05	0.000175034	-0.002581446	0.000679524	5.27E-05	0.000225296	0.000255279	5.33E-05	0.000350268	-2.49E-05	2.54E-05	-8.71E-05	-0.000192122	-5.79E-05	-4.28E-05	6.24E-06	-0.000192917	0.000499353	-2.52E-05	8.22E-06	-4.37E-05	1.64E-05	3.32E-05	-0.000108242	-5.90E-05	9.17E-05	5.74E-05	-0.000155694	-7.93E-05	9.08E-05	-6.28E-05	5.79E-05	-2.83E-05	-5.43E-05	0.0001531	0.000158592	-1.58E-05	6.30E-05	-0.000107983	0.000297991	0.000172128	-0.000151026	0.000101632	-5.80E-05	-0.000271235
5730507C01Rik	-0.000368706	0.001658635	0.003797412	-0.000986823	-5.42E-05	0.0001288	0.000452327	0.000724485	2.92E-05	-0.003539494	0.000772542	0.000327019	0.000288388	0.003626798	0.000105537	7.59E-05	0.00048844	-0.00098598	-0.000329698	-0.001290621	0.001411573	-0.001447166	-0.001032573	-0.000335643	-0.002104445	0.005129856	0.00215484	0.00042588	-7.32E-05	-0.001841354	-0.000811906	-0.00039304	0.003640807	0.000153638	-0.001189895	-0.000755236	-0.002030428	-0.001714929	0.000128126	-0.000335954	-0.000116784	-0.000454028	-0.001418291	9.49E-05	-1.49E-05	-7.70E-05	-0.000522598	-0.00012955	9.27E-05	-0.000203166	0.000488832	-0.000297531	-0.000812189	0.000602812	-0.000305687	-0.000744313	0.000473523	-0.000104648	8.77E-05	-0.000150964	5.50E-05	-0.000511999	-4.32E-05
9130019O22Rik	-0.000275663	0.000552364	-0.001555054	-0.000930907	-0.000594223	-0.000400097	-0.002354087	-0.002847196	0.003625389	-0.000518086	0.000936963	-0.002444769	0.002543502	8.04E-05	0.000777386	0.00136522	0.003006348	-0.000556471	-0.000754123	5.50E-05	-0.000164786	0.000501326	0.001542347	-0.001342246	0.00057249	9.75E-05	-0.00015651	-6.97E-05	-0.000163678	0.002785901	-0.003575802	0.00020679	-0.001853308	-0.000462058	0.000493116	-0.000532636	0.000892082	0.002656702	-0.000356417	0.002709696	-0.000916576	0.000313534	-0.000621622	-0.003538268	0.000251802	-0.001902102	0.001145299	-0.000414049	-0.001705102	0.003896331	-0.000242388	-0.003234571	0.000220934	0.001942348	0.001701797	0.001084235	2.18E-06	0.00045572	-0.000197166	-0.000831949	-0.000411616	-0.000961769	0.000150949
A430033K04Rik	0.000311096	0.00060457	-0.003049129	-0.001926115	0.002448265	-0.002323858	-0.000522231	0.001356668	0.000494804	-0.000463952	0.000194333	0.001532494	0.000514869	0.001087161	-0.000690248	0.002654759	-0.000593848	-0.000712644	-0.000111133	-0.000172019	0.000800399	-0.000160422	0.001890275	-0.004808216	-0.00244277	0.00397341	0.001328955	0.000246344	0.000684105	0.001319282	0.001081455	0.002490023	-0.003859225	0.002300192	0.003747697	-0.002256381	-0.002999726	-0.0052547	-0.003326395	-0.000118868	0.00108688	-0.005984875	0.001990525	0.00112988	0.002342237	-0.00103703	-0.000125584	0.001410734	0.001803115	0.00088014	0.001725924	-0.000820775	-0.000361531	-0.000760037	4.23E-05	0.001254044	0.001153156	-0.002873044	0.000454172	0.001080278	-0.000883918	0.000534742	0.000992201
AA987161	0.000379961	-0.000396038	-6.62E-05	-0.002093394	0.000483915	0.002356335	0.001861404	0.002768207	-0.000216261	-0.00034332	0.001504961	0.000377507	0.000989059	-0.001301898	0.000896824	0.002781134	-0.004804076	0.000398474	-0.002694757	-0.000855407	0.002132184	0.00223523	-0.001595642	-0.000875817	-0.001154705	0.001417322	-0.000733192	0.001268889	-0.00324009	0.000246552	-0.001198291	-0.003480406	-0.001890746	0.000175411	0.004445269	0.000995406	-0.000578369	-0.002004824	0.000950763	-0.001331123	-0.002831255	-0.00041918	0.002977956	0.001134771	0.000704478	0.00140903	0.003195405	-0.003347085	0.001146979	-0.001270534	0.00076061	-0.001108571	-0.000936554	-0.001046826	0.000598951	0.000552678	1.77E-05	0.00121366	0.001300648	0.000974162	0.000181636	0.000255363	-0.001991108
