GSE	GSM	Our Cell Name	More Detailed Cell Name
E-GEOD-23033	GSM568469	oocyte	oocyte
E-GEOD-23033	GSM568470	oocyte	oocyte
E-GEOD-23033	GSM568471	oocyte	oocyte
E-GEOD-31985	GSM792296	oocyte	oocyte
E-GEOD-31985	GSM792297	oocyte	oocyte
E-GEOD-31985	GSM792298	oocyte	oocyte
E-GEOD-25896	GSM635857	sperm	sperm
E-GEOD-25896	GSM635858	sperm	sperm
E-GEOD-25896	GSM635859	sperm	sperm
E-GEOD-24940	GSM613030	placenta	placenta
E-GEOD-24940	GSM613031	placenta	placenta
E-GEOD-24940	GSM613032	placenta	placenta
E-GEOD-41370	GSM1015774	trophoblast stem cell	trophoblast stem cell
E-GEOD-41370	GSM1015775	trophoblast stem cell	trophoblast stem cell
E-GEOD-41370	GSM1015776	trophoblast stem cell	trophoblast stem cell
E-GEOD-41370	GSM1015777	trophoblast stem cell	trophoblast stem cell
E-GEOD-41370	GSM1015778	trophoblast stem cell	trophoblast stem cell
E-GEOD-41370	GSM1015779	trophoblast stem cell	trophoblast stem cell
E-GEOD-41370	GSM1015780	trophoblast stem cell	trophoblast stem cell
E-GEOD-41370	GSM1015781	trophoblast stem cell	trophoblast stem cell
E-GEOD-41370	GSM1015782	trophoblast stem cell	trophoblast stem cell
E-GEOD-25255	GSM619267	trophoblast stem cell	trophoblast stem cell
E-GEOD-25255	GSM621308	trophoblast stem cell	trophoblast stem cell
E-GEOD-25255	GSM621309	trophoblast stem cell	trophoblast stem cell
E-GEOD-31562	GSM783316	episc	episcs
E-GEOD-16462	GSM413497	esc	esc
E-GEOD-16462	GSM413498	esc	esc
E-GEOD-16462	GSM413499	esc	esc
E-GEOD-17004	GSM425433	esc	esc
E-GEOD-17004	GSM425446	esc	esc
E-GEOD-17004	GSM425448	esc	esc
E-GEOD-21595	GSM539085	esc	esc
E-GEOD-21595	GSM539086	esc	esc
E-GEOD-21595	GSM539087	esc	esc
E-GEOD-23958	GSM590259	esc	esc
E-GEOD-23958	GSM590260	esc	esc
E-GEOD-23958	GSM590265	esc	esc
E-GEOD-23958	GSM590266	esc	esc
E-GEOD-27685	GSM685739	esc	esc
E-GEOD-27685	GSM685740	esc	esc
E-GEOD-27685	GSM685741	esc	esc
E-GEOD-27341	GSM769446	esc	esc
E-GEOD-27341	GSM769447	esc	esc
E-GEOD-27341	GSM769448	esc	esc
E-GEOD-15907	GSM791102	HSC	HSC - LT
E-GEOD-15907	GSM791103	HSC	HSC - LT
E-GEOD-15907	GSM791104	HSC	HSC - LT
E-GEOD-15907	GSM399454	HSC	HSC - ST
E-GEOD-15907	GSM399455	HSC	HSC - ST
E-GEOD-15907	GSM476654	HSC	HSC - ST
E-GEOD-15907	GSM791112	HSC	HSC - ST
E-GEOD-15907	GSM791113	HSC	HSC - ST
E-GEOD-15907	GSM538343	Common Lymphoid Progenitor (CLP)	Common Lymphoid Progenitor (CLP)
E-GEOD-15907	GSM538346	Common Lymphoid Progenitor (CLP)	Common Lymphoid Progenitor (CLP)
E-GEOD-15907	GSM538347	Common Lymphoid Progenitor (CLP)	Common Lymphoid Progenitor (CLP)
E-GEOD-15907	GSM538348	Common Lymphoid Progenitor (CLP)	Common Lymphoid Progenitor (CLP)
E-GEOD-15907	GSM538349	Common Lymphoid Progenitor (CLP)	Common Lymphoid Progenitor (CLP)
E-GEOD-15907	GSM538350	Common Lymphoid Progenitor (CLP)	Common Lymphoid Progenitor (CLP)
E-GEOD-15907	GSM791117	Common Myeloid Progenitor (CMP)	Common Myeloid Progenitor (CMP)
E-GEOD-15907	GSM791118	Common Myeloid Progenitor (CMP)	Common Myeloid Progenitor (CMP)
E-GEOD-15907	GSM791119	Granulocyte-Monocyte Progenitor (GMP)	Granulocyte-Monocyte Progenitor (GMP)
E-GEOD-15907	GSM791120	Granulocyte-Monocyte Progenitor (GMP)	Granulocyte-Monocyte Progenitor (GMP)
E-GEOD-15907	GSM791121	Granulocyte-Monocyte Progenitor (GMP)	Granulocyte-Monocyte Progenitor (GMP)
E-GEOD-15907	GSM791108	Megakaryocyte-Erythroid Progenitor (MEP)	Megakaryocyte-Erythroid Progenitor (MEP)
E-GEOD-15907	GSM791109	Megakaryocyte-Erythroid Progenitor (MEP)	Megakaryocyte-Erythroid Progenitor (MEP)
E-GEOD-15907	GSM538340	pre B Cell	pre B Cell
E-GEOD-15907	GSM538341	pre B Cell	pre B Cell
E-GEOD-15907	GSM538342	pre B Cell	pre B Cell
E-GEOD-15907	GSM538201	B Cell	B cell - follicular
E-GEOD-15907	GSM538202	B Cell	B cell - follicular
E-GEOD-15907	GSM538203	B Cell	B cell - follicular
E-GEOD-15907	GSM538210	B Cell	B cell - marginal zone
E-GEOD-15907	GSM538211	B Cell	B cell - marginal zone
E-GEOD-15907	GSM538212	B Cell	B cell - marginal zone
E-GEOD-15907	GSM854329	monocytes - classical	monocytes - classical
E-GEOD-15907	GSM854330	monocytes - classical	monocytes - classical
E-GEOD-15907	GSM854331	monocytes - classical	monocytes - classical
E-GEOD-15907	GSM605840	dendritic cell - plasmacytoid	dendritic cell - plasmacytoid
E-GEOD-15907	GSM605841	dendritic cell - plasmacytoid	dendritic cell - plasmacytoid
E-GEOD-15907	GSM605842	dendritic cell - plasmacytoid	dendritic cell - plasmacytoid
E-GEOD-15907	GSM605843	dendritic cell - plasmacytoid	dendritic cell - plasmacytoid
E-GEOD-15907	GSM605844	dendritic cell - plasmacytoid	dendritic cell - plasmacytoid
E-GEOD-15907	GSM605845	dendritic cell - plasmacytoid	dendritic cell - plasmacytoid
E-GEOD-15907	GSM854297	dendritic cell - plasmacytoid	dendritic cell - plasmacytoid
E-GEOD-15907	GSM854298	dendritic cell - plasmacytoid	dendritic cell - plasmacytoid
E-GEOD-15907	GSM854299	dendritic cell - plasmacytoid	dendritic cell - plasmacytoid
E-GEOD-15907	GSM854300	dendritic cell - plasmacytoid	dendritic cell - plasmacytoid
E-GEOD-15907	GSM854301	dendritic cell - plasmacytoid	dendritic cell - plasmacytoid
E-GEOD-15907	GSM538240	macrophage	macrophage
E-GEOD-15907	GSM538241	macrophage	macrophage
E-GEOD-15907	GSM538282	macrophage	macrophage
E-GEOD-15907	GSM538283	macrophage	macrophage
E-GEOD-15907	GSM538284	macrophage	macrophage
E-GEOD-15907	GSM605854	macrophage	macrophage
E-GEOD-15907	GSM605855	macrophage	macrophage
E-GEOD-15907	GSM854280	macrophage	macrophage
E-GEOD-15907	GSM854281	macrophage	macrophage
E-GEOD-15907	GSM854282	macrophage	macrophage
E-GEOD-15907	GSM854283	macrophage	macrophage
E-GEOD-15907	GSM854284	macrophage	macrophage
E-GEOD-15907	GSM791136	thymocyte DN	thymocyte - DN2
E-GEOD-15907	GSM791137	thymocyte DN	thymocyte - DN2
E-GEOD-15907	GSM791138	thymocyte DN	thymocyte - DN2
E-GEOD-15907	GSM791139	thymocyte DN	thymocyte - DN2
E-GEOD-15907	GSM791140	thymocyte DN	thymocyte - DN2
E-GEOD-15907	GSM791141	thymocyte DN	thymocyte - DN2
E-GEOD-15907	GSM791142	thymocyte DN	thymocyte - DN2
E-GEOD-15907	GSM791146	thymocyte DN	thymocyte - DN3a
E-GEOD-15907	GSM791147	thymocyte DN	thymocyte - DN3a
E-GEOD-15907	GSM791148	thymocyte DN	thymocyte - DN3a
E-GEOD-15907	GSM791149	thymocyte DN	thymocyte - DN3b
E-GEOD-15907	GSM791150	thymocyte DN	thymocyte - DN3b
